epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5323926535953442,2.8432964723098455,2.340729,0.9005061103567461,4.1396627,0.94437146,0.9204545454545454
2,0.36943330810281444,2.464954924113645,2.2455306,0.9238365633872362,3.9399517,0.9496094,0.9298128342245989
3,0.291322381071416,2.3250403021356743,2.3289738,0.936674484631527,4.0215054,0.9475017,0.9231283422459893
4,0.24950784155227282,2.2665296563374,2.1534243,0.9437106530058017,3.777406,0.95368147,0.93048128342246
5,0.21574905937528374,2.1651032884719923,2.0517607,0.9454388347117639,3.7265859,0.9549194,0.9324866310160428
