epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5492053151864723,2.8445864648067305,2.4107356,0.8882853968645846,4.4157405,0.9367042,0.9211229946524064
2,0.37128655594851584,2.445826161318812,2.135354,0.9182816936180719,3.8703482,0.9513741,0.9197860962566845
3,0.2906972326815422,2.2859560153754472,2.2176995,0.9350697444759907,3.871608,0.95134246,0.9224598930481284
4,0.2445488964799296,2.2049684429403595,2.0716443,0.9484014319219849,3.670618,0.9562633,0.9418449197860963
5,0.2096103435519881,2.1336681009513403,2.0023208,0.950253055178373,3.5759366,0.95849055,0.9371657754010695
