epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5648174215566936,2.858320446907006,2.3783698,0.9009998765584496,4.1922574,0.942949,0.9197860962566845
2,0.37010632897979523,2.4446770931112356,2.2163973,0.9263053943957537,3.8602877,0.95162654,0.9298128342245989
3,0.29181623923147254,2.321120118918677,2.1856291,0.936674484631527,3.9532096,0.9492697,0.928475935828877
4,0.245221984136868,2.240930112124664,2.0739837,0.9306258486606592,3.6421034,0.9569402,0.9364973262032086
5,0.2126643238873611,2.142701870291104,2.083562,0.9525984446364646,3.7707338,0.95384496,0.9351604278074866
