epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,1.7255099264420861,3.385248446089076,2.829811,0.8501419577829897,5.6746306,0.89546955,0.8983957219251337
2,1.2484471051711736,2.6953820123916534,2.467045,0.8793976052339217,4.874106,0.92288166,0.9157754010695187
3,1.0668333425061909,2.39409353366987,2.2515593,0.8905073447722504,4.286881,0.9403445,0.928475935828877
4,0.9756334249194213,2.2415522785167994,2.0217314,0.9085298111344279,3.5932522,0.95808756,0.9358288770053476
5,0.9120582884221565,2.1495181110900217,2.0769875,0.9034687075669671,3.8185363,0.9526673,0.9298128342245989
6,0.851298446319704,2.0503026251717817,1.9138762,0.9224787063325516,3.5165575,0.95985764,0.9344919786096256
7,0.8190411884836325,1.995318984656822,1.8455199,0.9261819528453278,3.273239,0.9652205,0.9405080213903744
8,0.7787781210513566,1.9455544913378287,1.845787,0.9165535119121097,3.3710253,0.96311146,0.9331550802139037
9,0.732118128028911,1.8761677270329844,1.7781904,0.9360572768793977,3.1276393,0.9682458,0.9331550802139037
10,0.7215700228735218,1.8626611202251253,1.7751614,0.9267991605974572,3.1459074,0.9678738,0.9311497326203209
11,0.6278751010852536,1.717214823942485,1.6715438,0.9439575361066534,2.9402397,0.97193706,0.9385026737967914
12,0.5997834460824494,1.681775026316718,1.6427395,0.9445747438587828,2.9316437,0.9721009,0.9371657754010695
13,0.5965010675154333,1.661458947409795,1.6191202,0.9455622762621898,2.8639116,0.9733752,0.9378342245989305
14,0.5879046878828778,1.6580854342209073,1.6147827,0.9465498086655968,2.843838,0.97374713,0.9364973262032086
15,0.5782710482168385,1.6444355960436694,1.5963931,0.9454388347117639,2.823395,0.9741232,0.9358288770053476
16,0.576672921734532,1.6434902954758621,1.6020077,0.9448216269596346,2.8600194,0.9734475,0.9378342245989305
17,0.5653385615606946,1.620139209069605,1.6117226,0.9459326009134674,2.8629677,0.9733927,0.9385026737967914
18,0.5619414036902856,1.6100821908064715,1.6089549,0.9459326009134674,2.9035149,0.9726337,0.9398395721925134
19,0.5598771330995822,1.6135828829421772,1.5895675,0.9475373410690038,2.8190777,0.9742023,0.9378342245989305
20,0.5592344109350302,1.6065585275334635,1.5880319,0.9501296136279471,2.8156927,0.9742642,0.9398395721925134
