epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5940276098662409,2.9675967627558215,2.3774412,0.8838415010492532,4.282713,0.94046044,0.9131016042780749
2,0.3748960768721374,2.482231579860443,2.2826533,0.9192692260214789,4.10515,0.94529516,0.9197860962566845
3,0.2941986012378056,2.314831149167028,2.1911414,0.9293914331564005,3.9266717,0.94994855,0.929144385026738
4,0.24447783363129705,2.220274345980489,2.105434,0.9354400691272683,3.7888453,0.9534005,0.9405080213903744
5,0.20657153606708414,2.1582542344267144,2.075265,0.9533390939390198,3.6452303,0.9568662,0.9344919786096256
