epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,1.3689156378431273,2.780265640742673,2.4118228,0.862609554376003,4.3122354,0.93963677,0.9231283422459893
2,1.004494287844362,2.2201163534460395,2.1526365,0.8944574743858783,3.9560583,0.9491966,0.9271390374331551
3,0.8416353985593824,1.9850319496516524,1.9709688,0.8971731884952475,3.9036474,0.95053375,0.9438502673796791
4,0.7199663769435413,1.793872450783922,1.8241825,0.9179113689667943,3.2101562,0.96654814,0.9451871657754011
5,0.6487018610896735,1.6875911961635346,1.6447039,0.9388964325391926,2.9169123,0.9723806,0.9451871657754011
