epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.34875455432631114,2.460424933997281,1.9820256,0.9624737686705345,3.5314753,0.95951635,0.9344919786096256
2,0.14395396405363023,1.962918700784298,1.7321078,0.9751882483643994,3.213537,0.9664777,0.9418449197860963
3,0.10541234238834804,1.7580419970263401,1.6248146,0.9796321441797309,2.972444,0.97131896,0.9371657754010695
4,0.09026153471522731,1.6209634376864128,1.4531487,0.977533637822491,2.6046295,0.9779779,0.9391711229946524
5,0.07120274844501406,1.4932100183270836,1.4382662,0.9760523392173805,2.5747797,0.97847974,0.9451871657754011
