epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.4206997807316592,2.5949820961271013,2.3551688,0.9251944204419208,4.383053,0.93763787,0.9318181818181818
2,0.25378105300547454,2.2466396364085193,2.148449,0.9476607826194297,3.9371629,0.94968075,0.9351604278074866
3,0.20565019297629156,2.1329418515924163,2.090693,0.9538328601407233,3.8923094,0.9508207,0.9338235294117647
4,0.17629955961859872,2.0528076540660387,1.9676652,0.9651894827799037,3.4447536,0.9614802,0.9378342245989305
5,0.16668660649525122,1.9959819429026449,1.9267145,0.9669176644858659,3.465884,0.96100616,0.9324866310160428
