epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,1.0380824728626905,2.3166150075244154,1.5795301,0.9458091593630416,2.833197,0.9739432,0.945855614973262
2,0.5327930703289866,1.5121700020990974,1.3030468,0.9634613010739415,2.2835176,0.9830731,0.9471925133689839
3,0.40949145813039906,1.2927372933138075,1.1734747,0.9711146772003456,2.0032806,0.9869728,0.9585561497326203
4,0.3242210715891808,1.1265357522748587,1.0349097,0.9760523392173805,1.8902885,0.98840094,0.9612299465240641
5,0.2852371129991971,1.0304525847744754,0.9946724,0.9803727934822861,1.7316253,0.9902664,0.9625668449197861
6,0.24261773178192575,0.9487317621003925,0.93261856,0.9800024688310085,1.6928928,0.9906969,0.9618983957219251
7,0.2163834092830579,0.8900761505750221,0.9613895,0.9844463646463399,1.5586799,0.99211353,0.963903743315508
8,0.1899112181767352,0.8195159762628436,0.85478693,0.9856807801505987,1.4994185,0.9927018,0.9592245989304813
9,0.18461968366966003,0.8004517970592018,0.845545,0.9858042217010246,1.4959314,0.99273574,0.9585561497326203
10,0.17120206719777714,0.7627930102033877,0.8773912,0.9798790272805826,1.75875,0.989959,0.9605614973262032
11,0.13638192043441721,0.6692246939605615,0.72515684,0.9871620787557092,1.3617707,0.9939803,0.9612299465240641
12,0.1163788351164324,0.6180894780816055,0.7019338,0.9880261696086903,1.2962786,0.9945454,0.9685828877005348
13,0.10591558136749925,0.591448272835082,0.69258624,0.9880261696086903,1.3132877,0.9944013,0.9652406417112299
14,0.10008690964547902,0.5761675967827556,0.6749707,0.9877792865078385,1.2455391,0.99496406,0.9625668449197861
15,0.09454298976398125,0.5600286789062455,0.68464935,0.9888902604616714,1.22885,0.9950981,0.963903743315508
16,0.09059635347386044,0.5483045969305076,0.6668658,0.9893840266633749,1.2039608,0.99529463,0.9618983957219251
17,0.08688500103372054,0.5395481992424942,0.6640084,0.9883964942599679,1.206776,0.99527264,0.9612299465240641
18,0.08149368768396574,0.5228852170306867,0.65838134,0.9893840266633749,1.1927849,0.9953816,0.9605614973262032
19,0.0799534611814604,0.516960609909587,0.66092694,0.9891371435625231,1.1975952,0.9953443,0.963903743315508
20,0.07544947211359312,0.5011390303884904,0.6516859,0.9900012344155042,1.1861004,0.9954332,0.9632352941176471
