epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,3.4628926684116497,3.1898662751531366,2.8334231,0.8302678681644241,4.796724,0.92531097,0.9004010695187166
2,2.5670016989919353,2.4846211759914905,2.1689708,0.8611282557708925,3.9340203,0.94976103,0.9137700534759359
3,2.262189748134519,2.251298039300101,2.384744,0.8623626712751512,3.988623,0.94835675,0.9144385026737968
4,1.970849201949359,2.0183362040026434,1.8886328,0.8944574743858783,3.2003362,0.9667525,0.9164438502673797
5,1.8550650315331707,1.9299023064486498,1.6159676,0.9011233181088755,2.7554812,0.97535306,0.9251336898395722
