epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,4.674206356579447,3.955042250285595,3.368936,0.7529934575978274,6.5871944,0.85914624,0.8469251336898396
2,3.62541236266714,3.335822014033501,3.1403778,0.7850882607085545,6.018344,0.8824232,0.8663101604278075
3,3.1326418453836675,2.9359086336173448,2.5306296,0.8268115047524996,4.720223,0.9276743,0.8830213903743316
4,2.786756014119228,2.654758344730133,2.1550207,0.8389087766942352,3.7446938,0.95448023,0.8903743315508021
5,2.5812798982183334,2.47941158475547,2.1460154,0.8466855943710653,3.6619155,0.95647043,0.8957219251336899
