epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.6292880597079329,3.0433488513448554,2.876763,0.8308850759165535,5.5367393,0.90048796,0.8943850267379679
2,0.5102960939771436,2.778545015962253,2.5008895,0.8700160474015554,4.632605,0.93033445,0.911096256684492
3,0.44349527212933365,2.620858353229579,2.867449,0.8756943587211455,5.282543,0.90941554,0.9030748663101604
4,0.39883477855932536,2.5349179532140345,2.4261272,0.8969263053943958,4.4128456,0.9367872,0.9298128342245989
5,0.3644012785457038,2.4815802806703915,2.299843,0.9128502653993334,4.051974,0.94670326,0.9177807486631016
