epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5517088599246124,2.822226898306109,2.277993,0.9019874089618566,4.049248,0.9467749,0.9244652406417112
2,0.36400092919471816,2.4275132671952835,2.3074071,0.9126033822984817,4.0647135,0.94636756,0.9217914438502673
3,0.28390752236390937,2.2951763116667423,2.136921,0.9334650043204543,3.8666263,0.9514676,0.9258021390374331
4,0.23773304940811518,2.2060695650542312,2.2682705,0.9353166275768424,4.076554,0.94605464,0.9344919786096256
5,0.20913801863422535,2.137337935734265,2.0952659,0.9466732502160227,3.772137,0.9538106,0.9405080213903744
