epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.43568394866042537,2.619494488204054,2.178772,0.9365510430811012,3.9188483,0.9501478,0.9378342245989305
2,0.2584920120209896,2.248350385492071,2.070046,0.9430934452536723,3.6896276,0.9558091,0.9398395721925134
3,0.2124282986182591,2.146721133457616,1.9406894,0.9554376002962597,3.4131408,0.96218395,0.9391711229946524
4,0.18047322540227415,2.044110087455787,1.9439458,0.9592642883594618,3.4942603,0.96036506,0.9391711229946524
5,0.16073618508288132,1.9730644108626643,1.8476322,0.9611159116158499,3.4030242,0.9624078,0.9398395721925134
6,0.1503766051947777,1.9305010393922553,1.7782971,0.9675348722379953,3.2443063,0.96583265,0.945855614973262
7,0.12934775175205593,1.8253842233437036,1.8010838,0.9622268855696827,3.232866,0.9660732,0.9431818181818182
8,0.0742482525255219,1.6352145288965385,1.5198694,0.9821009751882483,2.796296,0.97461754,0.9545454545454546
9,0.05854787888932111,1.5359135719355692,1.4478589,0.9838291568942106,2.641369,0.9773522,0.9572192513368984
10,0.04882438917520451,1.4614865253711569,1.3844305,0.983458832242933,2.5510707,0.9788742,0.9565508021390374
11,0.044815461119187286,1.3811235148331216,1.3198286,0.9838291568942106,2.4187193,0.9810094,0.9572192513368984
12,0.038762822707775486,1.306820570306825,1.2395729,0.9845698061967658,2.2682605,0.9832986,0.9605614973262032
13,0.034953794575163295,1.2318346795190145,1.2045693,0.9837057153437847,2.204031,0.98423105,0.9585561497326203
14,0.03230850743634507,1.1704703955814757,1.146578,0.9835822737933588,2.0742311,0.9860337,0.9572192513368984
15,0.02682773000537762,1.0787386507823549,1.0937864,0.9835822737933588,2.0121675,0.98685694,0.9565508021390374
16,0.02567374494679162,1.0519946113008585,1.0850937,0.9837057153437847,2.0087276,0.9869019,0.9572192513368984
17,0.024802824544715763,1.029881215653396,1.06619,0.9844463646463399,1.9465114,0.98770064,0.9565508021390374
18,0.023520062476616775,1.0051375729109853,1.0519991,0.9843229230959141,1.9209563,0.9880215,0.9572192513368984
19,0.0226731987399384,0.9864986117543846,1.0404947,0.9840760399950623,1.9029635,0.98824483,0.9592245989304813
20,0.022510097710773568,0.9832174507267957,1.0279493,0.9846932477471917,1.8762993,0.98857194,0.9592245989304813
