epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.4822063661642431,2.7136513848943036,2.4828207,0.9023577336131342,4.6772957,0.9289838,0.9177807486631016
2,0.301615757310367,2.3254890803277024,2.2105334,0.9367979261819529,4.066824,0.9463119,0.93048128342246
3,0.24034409314452662,2.2153906944229846,2.1288354,0.9413652635477101,3.8478136,0.9519387,0.9418449197860963
4,0.2026348581728269,2.1076363541009857,2.2600145,0.9307492902110851,4.1700253,0.9435525,0.9258021390374331
5,0.18498469644233467,2.054873137962161,2.0308146,0.9544500678928527,3.519919,0.9597809,0.9405080213903744
