epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5547409723985371,2.834832412033833,2.78333,0.8833477348475497,5.0747075,0.9164032,0.911096256684492
2,0.36743282368177266,2.4415331824072477,2.4411469,0.8891494877175657,4.4374194,0.93608123,0.9251336898395722
3,0.29459091831971274,2.314189969260117,2.2885635,0.918158252067646,4.1431518,0.9442777,0.9251336898395722
4,0.2427616558381783,2.2043568975232506,2.1776152,0.937538575484508,3.9052372,0.95049345,0.9318181818181818
5,0.21154753755906533,2.15102690105955,2.1750135,0.9277866930008641,4.0809145,0.9459392,0.9311497326203209
