epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5674424938820853,2.8882793846975994,2.6677454,0.8843352672509567,4.667241,0.92928886,0.9097593582887701
2,0.34506348972690515,2.381359430369485,2.2587,0.9292679916059746,4.0695868,0.9462389,0.9298128342245989
3,0.25665228646156824,2.2245043724041267,2.1242745,0.9354400691272683,3.8603272,0.9516256,0.9418449197860963
4,0.19701834512975416,2.0753655755461144,1.9325356,0.9525984446364646,3.5436552,0.9592366,0.9371657754010695
5,0.16470557747436274,1.9701688323114892,1.8874553,0.9635847426243673,3.371717,0.9630963,0.9425133689839572
