epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,4.246217859202418,3.727156815270485,3.139375,0.825453647697815,5.9611087,0.8846489,0.8622994652406417
2,3.2958048893313103,3.0935362477607913,2.9090843,0.8168127391680039,4.8065886,0.9250034,0.8883689839572193
3,2.9431948781600727,2.8172425665878897,2.3833745,0.8347117639797555,4.179129,0.94330573,0.893048128342246
4,2.709228649397789,2.620604297327878,2.2491202,0.8526107887915072,3.989497,0.9483341,0.893048128342246
5,2.51936736377002,2.468167273986516,2.0362523,0.8698926058511295,3.4837322,0.96060354,0.893048128342246
