epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5605691285702983,2.885833603642844,2.4801702,0.8877916306628811,4.492895,0.93447304,0.9157754010695187
2,0.3835463836422108,2.492226111360371,2.3446624,0.9085298111344279,4.2498937,0.9413695,0.9204545454545454
3,0.31664556649151104,2.3902210794058925,2.4998906,0.9048265646216517,4.832429,0.9241949,0.9164438502673797
4,0.27290757503268753,2.2865334960627437,2.2948399,0.9402542895938772,3.8677316,0.9514398,0.9258021390374331
5,0.2234401392709152,2.210125685912635,2.29811,0.9376620170349339,4.25846,0.9411329,0.9311497326203209
