epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.8783840749064102,2.698050593272806,2.4848602,0.8740896185656092,4.8357687,0.9240901,0.9264705882352942
2,0.6363368151223131,2.245883770353101,2.5897982,0.9058140970250587,4.1752534,0.9434109,0.9331550802139037
3,0.5341497035155742,2.0809244102445144,1.8266218,0.9330946796691767,3.2581327,0.9655408,0.9344919786096256
4,0.45841993419407623,1.9558590750976148,1.8293931,0.9425996790519688,3.3259375,0.96409166,0.9431818181818182
5,0.41511251424333734,1.8658606491652616,1.8464063,0.9454388347117639,3.4600947,0.96113634,0.945855614973262
