epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.5297213495364917,2.770244498323337,2.27133,0.9108752005925195,4.100006,0.9454322,0.9251336898395722
2,0.3465329943766148,2.3790733174150214,2.7342494,0.8579187754598198,4.784311,0.92569697,0.9144385026737968
3,0.27392722800961267,2.246742342434493,2.295954,0.9280335761017159,4.413828,0.93675905,0.9237967914438503
4,0.23230699533091978,2.20840692743292,2.0376668,0.9553141587458338,3.583537,0.9583139,0.9418449197860963
5,0.20482986096311084,2.1065626586599304,2.067375,0.9477842241698555,3.7149005,0.9552017,0.9318181818181818
