epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,2.6415926016610243,2.5635453354548936,2.0457087,0.8790272805826441,3.5350611,0.9594341,0.9191176470588235
2,1.934131828963463,2.004193112180738,1.6463091,0.9086532526848538,2.6951,0.9764214,0.9331550802139037
3,1.7121340916074554,1.8210771471408789,1.4999199,0.9172941612146649,2.554503,0.97881734,0.9271390374331551
4,1.4336288852057433,1.5969605617922515,1.3523417,0.926922602147883,2.3536391,0.98201764,0.9344919786096256
5,1.3193504002881167,1.5061824058077018,1.4312979,0.922108381681274,2.4428482,0.9806286,0.9204545454545454
