epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,0.6468070426440815,3.066116445431162,2.6761794,0.854709295148747,5.0746684,0.9164045,0.9084224598930482
2,0.4352622229244217,2.5903046001290497,2.283361,0.9008764350080237,4.131325,0.94459534,0.9264705882352942
3,0.34295000618405386,2.367995088972324,2.2507608,0.9082829280335761,4.0257525,0.9473908,0.9244652406417112
4,0.2866961188952197,2.250832936339569,2.1581771,0.9264288359461795,3.8036072,0.95303667,0.9311497326203209
5,0.2500721890848367,2.2048484196270435,2.1504328,0.9329712381187508,3.6937394,0.9557106,0.9298128342245989
