epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,3.643564982740911,3.2665542170824002,2.6312308,0.8195284532773731,4.776606,0.9259361,0.8970588235294118
2,2.742664760221925,2.585555407993896,2.2234688,0.8448339711146772,4.199696,0.94274634,0.9017379679144385
3,2.285062336727808,2.219164259537151,2.0341299,0.8560671522034317,3.5772166,0.9584608,0.9211229946524064
4,1.9358666467954515,1.9491205241599066,1.73466,0.878163189729663,3.0255156,0.97028565,0.9358288770053476
5,1.7060776162376659,1.7699887367408813,1.5806652,0.8901370201209727,2.7123055,0.9761194,0.9425133689839572
6,1.5442718141856835,1.634459191587184,1.4846493,0.9051968892729293,2.42325,0.9809382,0.9385026737967914
7,1.42151652247874,1.5352868102729584,1.4852595,0.909393901987409,2.5436075,0.97899765,0.9398395721925134
8,1.1322881010085153,1.2820898917668437,1.1671429,0.9198864337736082,1.9297066,0.9879121,0.9498663101604278
9,0.9971366368928174,1.1595087780806748,1.0973514,0.9206270830761635,1.8031219,0.989446,0.9485294117647058
10,0.9273963377077983,1.0983687768933101,1.058826,0.9247006542402173,1.7634721,0.98990506,0.9471925133689839
11,0.8648516194111846,1.0396320996994217,1.0200603,0.9238365633872362,1.7031798,0.99058354,0.9505347593582888
12,0.8110631066275794,0.9896348976865668,0.99957997,0.9282804592025676,1.6561483,0.9910964,0.9578877005347594
13,0.765323762054394,0.948083801963401,0.95654094,0.9300086409085299,1.5746505,0.9919511,0.9552139037433155
14,0.7147734094982138,0.9014129651303712,0.96289897,0.9314899395136403,1.599714,0.99169284,0.9545454545454546
15,0.6566305183656348,0.844065474738271,0.91569656,0.9323540303666215,1.5213798,0.9924865,0.9578877005347594
16,0.6376707109031917,0.8245333709729723,0.90125567,0.9333415627700284,1.5056431,0.9926411,0.9565508021390374
17,0.6230547818322673,0.8130674944422174,0.89597315,0.9340822120725837,1.4859107,0.9928327,0.9572192513368984
18,0.6132358417370274,0.8008052441302986,0.88849753,0.9327243550178991,1.4718436,0.9929678,0.9572192513368984
19,0.5983532102252533,0.7877513336365655,0.8810579,0.9342056536230096,1.463853,0.99304396,0.9578877005347594
20,0.5897826001694368,0.7780052359436697,0.8749456,0.9330946796691767,1.452567,0.9931508,0.9558823529411765
